,,,,,SECURED,SECURED,SALES,JV,EARNINGS,CONT,BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141356,Sanofi B75 QC & GCI Facility PRECON,300330,Philadelphia Main,Project,2014,2014.NOV,,N,P,LS,007,,21 ,1," $3,815 "," $2,350 "," $158,926 "," $2,970 ", $(9)," $(4,866)", $(0)," $2,195 "," $1,605 "," $3,052 "," $1,318 "," $2,066 ", $179 ," $1,900 ", $25 , $10 , $45 , $36 ," $1,140 "," $1,146 ", $45 , $13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141358,TSP - 200 Park Ave Garage Alteration,300221,NY Interiors,Project,2014,2014.NOV,,N,P,LS,001,,21 ,1, $276 ," $2,639 "," $176,091 "," $7,155 "," $5,090 "," $5,145 "," $1,741 "," $19,229 "," $17,209 "," $1,648 "," $1,700 "," $4,110 "," $3,654 "," $1,639 "," $1,334 ", $592 ," $1,068 "," $1,514 ", $584 , $(4), $(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141359,TSP - 375 Hudson St. Juice Press,300221,NY Interiors,Project,2014,2014.NOV,,N,P,LS,002,,20 ,1," $88,220 "," $51,318 "," $48,384 "," $14,729 "," $56,292 "," $14,334 "," $(7,908)", $97 , $849 , $391 ," $1,536 "," $1,040 "," $3,473 ", $8 , $622 , $8 , $17 , $(0)," $1,000 ", $(1), $1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141360,Hilliard City Schools Facility Assesment,300372,Columbus Main,Project,2014,2014.NOV,,N,P,CSL,006,,15 ,1, $218 , $127 ," $2,599 ", $663 , $304 ," $7,108 "," $2,374 ", $104 , $169 , $40 , $247 , $3 , $(237), $(5), $(10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141361,Santikos Casa Blanca Theatre,300404,San Antonio Main,Project,2014,2014.NOV,,N,P,CGS,001,,43 ,8," $6,801 "," $411,378 "," $180,154 "," $1,718,339 "," $2,316,312 "," $1,791,888 "," $753,314 "," $297,035 "," $691,034 "," $624,976 "," $2,784,766 "," $2,746,527 "," $2,482,772 "," $4,056,462 "," $3,302,934 "," $1,938,550 "," $2,651,839 "," $(421,851)"," $1,063,407 "," $853,512 "," $431,546 ", $255 ," $(343,553)"," $949,943 "," $52,386 "," $2,262 "," $1,091 "," $(11,444)"," $7,500 ", $103 , $21 ," $(36,399)"," $3,211 "," $7,076 "," $(6,470)"," $2,777 "," $1,519 "," $2,024 "," $(1,599)"," $(9,603)", $18 ," $3,595 ", $269 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141366,American Express Centurion Lounge at MIA,323124,MEP Miami,Project,2014,2014.NOV,,N,M,CP,014,,14 ,1," $7,000 ", $291 ," $51,883 "," $26,651 "," $128,256 "," $134,140 ", $119 ," $1,778 "," $2,644 "," $3,526 "," $17,540 "," $1,094 ", $21 , $165 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141367,Key Bank Castle Demolition,300375,Cleveland SPD,Project,2014,2014.NOV,,N,P,CG,001,,12 ,1," $169,608 "," $40,700 "," $146,137 "," $(14,713)"," $39,121 ", $3 , $(0), $(644)," $6,731 "," $2,580 "," $(1,622)"," $(2,180)", $(191), $1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141368,Fan Pier Misc.,300201,Boston SPD,Project,2014,2014.NOV,,N,P,CG,001,,37 ,3," $126,078 "," $114,299 "," $600,414 "," $458,713 "," $161,388 "," $262,588 "," $11,841 "," $2,333 ", $153 , $31 ," $4,715 "," $(4,617)"," $30,414 ", $85 ," $24,886 "," $3,992 "," $221,570 "," $397,911 "," $60,060 "," $21,602 "," $125,903 ", $140 ," $1,168 "," $14,801 "," $3,067 "," $3,128 ", $26 ," $95,901 "," $(2,971)"," $1,317 "," $5,277 ", $10 ," $35,840 ", $(0)," $7,820 "," $95,483 ", $651 ," $(3,680)", $0 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141369,DLR 900 Quality Way Suite 150,300400,Dallas Main,Project,2014,2014.DEC,,N,P,CG,003,,18 ,4," $18,497 "," $668,471 "," $1,563,153 "," $1,084,852 "," $586,436 "," $190,479 "," $(3,595)", $633 ," $1,413 "," $4,407 ", $437 , $30 ," $2,663 ", $(66)," $1,367 ", $101 , $255 , $(747),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141371,Nike - Mia Hamm 3rd Flr. Preconstruction,300425,Portland Main,Project,2014,2014.NOV,,N,P,CP,001,,8 ,1," $10,488 "," $22,268 "," $7,251 "," $53,899 "," $32,962 ", $(537), $0 , $(0), $1 , $1 , $2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141372,Wells Fargo 1 refresh,300353,Carolinas SPD,Project,2014,2014.NOV,,N,P,LS,001,,12 ,1," $49,841 "," $13,778 "," $20,007 "," $98,956 "," $7,489 "," $(21,538)", $969 ," $1,171 "," $17,045 ", $214 , $19 , $0 , $72 , $(0), $1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141373,Le Bonheur East Outpatient Clinic,300365,Nashville Main,Project,2014,2014.DEC,,N,P,CG,008,,36 ,5," $38,003 "," $202,116 "," $695,901 "," $435,735 "," $113,375 "," $195,785 "," $125,384 "," $19,836 "," $60,904 "," $8,094 "," $9,130 "," $49,296 "," $100,027 "," $297,060 "," $685,965 "," $868,083 "," $977,066 "," $615,553 "," $315,329 "," $348,953 "," $177,767 "," $41,519 "," $8,528 "," $8,995 "," $31,497 "," $(3,631)"," $17,758 "," $26,190 "," $11,127 ", $189 ," $1,809 ", $660 ," $9,822 ", $0 , $(0)," $1,474 ", $(12)," $(1,020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141374,615 West Lafayette Core and Shell,300380,Michigan Main,Project,2014,2014.NOV,,N,P,CG,001,,48 ,8," $2,348 "," $20,679 "," $13,788 "," $524,752 "," $1,134,524 "," $723,414 "," $749,203 "," $3,275,375 "," $1,014,736 "," $2,215,389 "," $3,001,721 "," $3,461,375 "," $1,551,005 "," $926,244 "," $763,594 "," $986,712 "," $1,199,202 "," $494,827 "," $823,768 "," $317,461 "," $344,480 "," $416,389 "," $332,169 "," $353,722 "," $845,783 "," $891,335 "," $937,749 "," $474,749 "," $61,582 "," $81,931 "," $56,311 "," $21,205 "," $36,139 "," $20,208 ", $370 ," $12,748 "," $84,075 "," $29,028 ", $635 ," $141,998 "," $108,173 "," $17,122 "," $14,538 "," $1,369 ", $929 ," $6,082 ", $424 ," $6,322 ", $(0)," $14,382 ", $99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141376,Intel King of Prussia Lab,300331,Philadelphia SPD,Project,2014,2014.NOV,,N,P,CG,001,,13 ,1," $8,210 "," $613,490 "," $13,311 "," $7,835 ", $722 ," $2,222 "," $6,109 "," $1,095 "," $2,869 ", $947 , $2 , $(0), $(418), $4 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141377,HRHS - ICU Phase 1; MRI,300385,Chicago Main,Project,2014,2014.NOV,,N,P,CG,008,,18 ,3," $14,164 "," $65,511 "," $232,990 "," $346,478 "," $229,377 "," $560,094 "," $421,142 "," $357,338 "," $468,417 "," $229,570 "," $130,036 "," $7,655 "," $2,201 ", $826 , $420 , $36 , $(0), $80 , $146 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141378,Chrysler House 10th Floor Renovation,300380,Michigan Main,Project,2014,2014.NOV,,N,P,CP,001,,12 ,1," $40,051 "," $474,139 "," $249,924 "," $40,839 "," $17,034 "," $7,355 ", $31 ," $1,400 "," $7,110 "," $13,836 ", $96 , $57 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141385,Cologix Vancouver Precon,302103,Vancouver Main,Project,2014,2014.DEC,,N,P,LS,003,,13 ,1," $5,432 "," $16,568 "," $16,218 "," $10,687 "," $(4,527)"," $3,868 "," $56,535 "," $155,922 "," $12,475 ", $900 ," $7,309 ", $596 , $191 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141388,Charlotte Chamber Quarters,300353,Carolinas SPD,Project,2014,2014.NOV,,N,P,CGS,001,,14 ,3," $62,099 "," $285,992 "," $591,806 "," $570,007 "," $869,952 "," $405,051 "," $94,791 "," $(6,757)"," $(7,552)"," $(19,691)"," $2,305 ", $39 , $890 , $713 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141389,Boeing Cell 275 & NFL Relocation,300353,Carolinas SPD,Project,2014,2014.NOV,,N,P,CP,004,,21 ,1," $20,744 "," $414,173 "," $22,333 "," $3,147 "," $23,473 "," $7,611 "," $8,942 "," $18,144 "," $2,144 "," $27,937 "," $8,524 "," $3,243 "," $1,082 ", $801 ," $11,675 "," $5,370 ", $25 , $0 ," $2,122 "," $4,809 ", $51 , $110 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141390,Boeing 88-19 & 88-21 Water Fountains,300353,Carolinas SPD,Project,2014,2014.NOV,,N,P,LS,004,,8 ,1," $38,188 "," $1,033 ", $550 , $221 ," $11,480 "," $5,662 "," $8,687 ", $135 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141391,Boeing concrete joint sealing,300353,Carolinas SPD,Project,2014,2014.NOV,,N,P,LS,004,,8 ,1," $28,799 ", $877 , $492 , $166 ," $10,229 "," $6,129 "," $1,593 "," $1,881 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141392,Boeing 88-20 Mezzanine Demolition,300353,Carolinas SPD,Project,2014,2014.NOV,,N,P,LS,004,,16 ,1," $103,907 "," $336,758 "," $113,685 "," $44,178 "," $138,206 "," $30,511 "," $51,250 "," $16,873 "," $12,747 "," $12,036 "," $33,714 "," $12,742 ", $233 ," $1,048 ", $200 , $777 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141393,Gaston MOB Self Perform,300400,Dallas Main,Project,2014,2014.NOV,,N,P,LS,008,,21 ,1," $(3,000)"," $(2,618)"," $(6,267)"," $(1,605)"," $(1,584)"," $(15,477)"," $(9,655)"," $(15,566)"," $(5,928)"," $(92,549)"," $(16,543)"," $34,159 "," $(8,540)"," $(11,247)"," $(5,214)"," $(3,476)"," $(8,690)"," $(5,507)"," $5,507 ", $69 ," $(160,275)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141394,Knowles Clean Room,300385,Chicago Main,Project,2014,2014.NOV,,N,P,CG,001,,10 ,1," $166,290 "," $269,585 "," $160,791 "," $17,405 ", $70 , $851 ," $8,645 ", $42 ," $1,220 ", $(1), $44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141396,427 9th Ave N Preconstruction,300420,Seattle Main,Project,2014,2014.DEC,,N,P,CG,015,,26 ,1," $6,693 "," $5,104 "," $9,874 "," $9,850 "," $29,217 "," $37,570 "," $25,132 "," $29,107 "," $372,294 "," $(105,060)"," $13,350 "," $264,649 "," $13,350 "," $7,057 "," $13,413 "," $1,475 ", $895 , $435 , $578 ," $6,048 "," $5,150 ", $917 ," $3,632 "," $(8,878)", $(123)," $4,482 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141397,Chef'n TI,300421,Seattle SPD,Project,2014,2014.NOV,,N,P,LS,001,,7 ,1," $13,994 "," $137,667 "," $46,348 "," $35,928 "," $9,695 "," $26,281 "," $6,705 ", $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141399,UK PCF - Phase 1F - 9th and 10th floor,300370,Cincinnati Main,Project,2014,2014.NOV,,N,P,CG,008,,34 ,8," $50,025 "," $10,785 "," $1,134,924 "," $1,522,334 "," $2,332,185 "," $3,801,832 "," $5,267,416 "," $1,749,957 "," $6,109,356 "," $1,386,702 "," $2,254,627 "," $1,828,318 "," $1,174,906 "," $884,221 "," $664,255 "," $532,012 "," $549,877 "," $582,881 "," $437,776 "," $112,023 "," $124,808 "," $178,766 "," $31,767 "," $1,739 "," $(150,612)"," $10,028 "," $6,856 ", $(86)," $2,918 "," $130,894 ", $(0)," $(15,385)"," $12,419 "," $2,974 "," $(5,286)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141404,TD Bank Restack - Atrium,300331,Philadelphia SPD,Project,2014,2014.NOV,,N,P,CG,001,,19 ,2," $2,135 "," $86,474 "," $497,975 "," $125,092 "," $94,718 "," $26,405 "," $10,154 "," $5,186 "," $129,421 "," $13,553 "," $9,815 "," $1,448 "," $3,279 ", $(746), $303 , $513 , $685 , $38 , $9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141406,Shriners Distribution Pharmacy,300331,Philadelphia SPD,Project,2014,2014.DEC,,N,P,LS,008,,5 ,1," $9,965 "," $46,662 "," $7,582 ", $976 , $242 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141407,Siemens GCHI,300375,Cleveland SPD,Project,2014,2014.DEC,,N,P,CG,001,,20 ,1," $4,105 "," $3,794 "," $8,017 "," $252,471 "," $108,638 "," $2,899 ", $65 ," $12,204 "," $14,822 ", $327 ," $1,164 ", $(3), $0 , $664 ," $14,788 ", $160 , $510 , $(3), $0 , $(0), $53 , $(658), $4 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141408,"BPO-225 Liberty, 36th Fl Building Office",300221,NY Interiors,Project,2014,2014.DEC,,N,P,LS,001,,22 ,1, $768 ," $2,791 "," $198,916 "," $14,184 "," $101,275 "," $226,371 ", $840 , $(10), $654 ," $9,795 ", $341 ," $14,338 ", $80 , $67 ," $9,192 "," $5,125 ", $121 , $44 ," $2,038 "," $6,896 "," $(1,108)"," $(1,075)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141415,Harvard Smith Campus Center 4th Fl Exp,300201,Boston SPD,Project,2014,2014.DEC,,N,P,CG,005,,20 ,2," $16,323 "," $264,256 "," $282,185 "," $258,093 "," $72,515 "," $64,758 "," $33,905 "," $4,819 "," $5,882 ", $183 ," $2,143 "," $3,079 ", $61 ," $1,940 ", $687 , $38 , $(0), $139 , $142 , $(495), $5 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141416,KeyBank Saugerties,300222,NY North,Project,2014,2014.DEC,,N,P,LS,001,,11 ,1," $6,381 "," $29,191 "," $7,295 "," $22,105 "," $4,394 "," $8,294 ", $(2)," $1,764 ", $0 , $891 , $914 , $291 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141420,Meridian - Riverview Cancer Center,300331,Philadelphia SPD,Project,2014,2014.DEC,,N,P,CP,008,,49 ,7," $49,796 "," $233,253 "," $297,198 "," $178,953 "," $80,881 "," $118,986 "," $172,784 "," $232,884 "," $948,283 "," $512,992 "," $1,242,462 "," $1,647,932 "," $2,269,045 "," $1,631,320 "," $1,527,879 "," $1,963,125 "," $1,728,837 "," $2,161,307 "," $2,464,230 "," $1,054,717 "," $880,809 "," $554,047 "," $592,292 "," $132,238 "," $342,155 "," $(33,079)"," $628,558 "," $4,555 "," $13,208 "," $117,728 "," $3,977 "," $3,892 ", $27 ," $1,567 "," $(1,217)", $147 ," $10,532 ", $486 ," $6,981 "," $7,210 "," $3,580 "," $1,263 "," $8,911 ", $3 , $947 ," $126,542 ", $12 ," $(1,603)", $20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141421,US Patent and Trademark Office - PreCon,300454,South Bay SPD,Project,2014,2014.DEC,,N,P,CG,001,,10 ,1," $56,734 "," $20,786 "," $(50,191)", $890 ," $1,765 ", $108 ," $1,632 "," $(31,496)", $292 , $(521),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141428,Owens Corning Hangar Garage Door Enlarge,304101,Lathrop SPD,Project,2014,2014.DEC,,N,P,LS,014,,13 ,1," $2,722 "," $4,864 ", $(1), $317 ," $1,093 "," $8,421 "," $11,743 "," $37,701 "," $16,266 "," $7,871 ", $321 , $(2), $316 , $111 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141430,Carolina Theatre Enabling Work,300353,Carolinas SPD,Project,2014,2014.DEC,,N,P,LS,013,,13 ,1, $883 ," $16,808 "," $38,784 "," $14,059 "," $32,260 "," $(5,139)", $(53), $1 , $74 , $150 , $58 ," $1,355 "," $2,867 ", $105 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141431,Boeing 777X Bomarc Expansion 45-802,300421,Seattle SPD,Project,2014,2014.DEC,,N,P,CP,001,,29 ,8," $72,391 "," $186,834 "," $2,467,300 "," $5,961,823 "," $6,630,468 "," $4,933,530 "," $2,460,209 "," $1,304,917 "," $1,210,760 "," $766,348 "," $1,204,183 "," $534,595 "," $232,538 "," $64,607 "," $25,734 "," $5,102 "," $2,725 "," $2,367 "," $18,345 "," $2,259 "," $14,330 "," $4,104 ", $45 ," $66,958 "," $1,924 ", $17 ," $30,673 "," $1,063 "," $2,300 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141436,Killian - 101 Office Bldg. Preconstructi,300425,Portland Main,Project,2014,2014.DEC,,N,P,CG,001,,6 ,1," $11,530 "," $23,585 "," $36,710 "," $43,406 "," $12,645 "," $(120,158)", $1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141439,Neighborhood Health Assoc Building 10,304101,Lathrop SPD,Project,2014,2014.DEC,,N,P,CG,008,,34 ,5," $69,680 "," $127,010 "," $10,244 "," $15,277 "," $24,205 "," $201,045 "," $374,692 "," $591,861 "," $282,577 "," $1,175,009 "," $771,491 "," $1,151,105 "," $468,309 "," $540,994 "," $769,260 "," $466,959 "," $213,510 "," $76,744 "," $482,977 "," $34,985 "," $10,858 "," $3,731 "," $3,897 ", $159 ," $12,220 ", $27 ," $21,136 "," $4,087 ", $32 , $18 ," $1,306 ", $311 , $3 , $8 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141440,Citi Crescent,300400,Dallas Main,Project,2014,2014.DEC,,N,P,CG,001,,8 ,1," $18,674 "," $121,968 "," $60,088 "," $(4,169)"," $4,169 "," $(4,169)"," $4,169 "," $(4,169)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141441,Citi Regent,300400,Dallas Main,Project,2014,2014.DEC,,N,P,CG,001,,6 ,1," $25,169 "," $64,600 "," $138,229 "," $11,344 ", $307 , $(309), $0 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141453,600 California Misc Projects,300451,Bay Area SPD,Project,2014,2014.DEC,,N,P,CGS,001,,16 ,2," $10,571 "," $193,721 "," $76,809 "," $254,899 "," $275,365 "," $299,046 "," $88,977 "," $12,685 "," $6,889 "," $5,132 "," $6,923 "," $3,514 ", $834 ," $7,002 ", $45 , $23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150023,FAA Office Building - Preconstruction,300420,Seattle Main,Project,2014,2014.DEC,,N,P,CG,001,,5 ,1," $43,164 "," $12,112 "," $2,406 ", $664 , $9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140005,Ballpark Village Parcel C - Phase I.,300480,San Diego Main,Project,2015,2015.MAR,,N,P,CGS,015,,46 ,9," $11,993 "," $2,025,809 "," $1,737,671 "," $2,792,194 "," $2,151,213 "," $1,871,419 "," $2,614,223 "," $6,935,995 "," $6,293,636 "," $5,673,601 "," $5,217,854 "," $3,315,670 "," $1,833,334 "," $255,323 "," $856,390 "," $638,179 "," $619,384 "," $795,711 "," $31,214 "," $2,421,886 "," $1,304,801 "," $288,594 "," $389,136 "," $402,445 "," $258,304 "," $464,295 "," $157,964 "," $220,124 "," $334,235 "," $197,004 "," $19,893 "," $(191,311)", $(0)," $(33,726)", $0 ," $34,900 ", $0 ," $310,223 "," $(9,869)"," $(3,373)"," $6,706 ", $446 , $588 ," $(35,088)", $212 ," $19,740 ", $30 , $72 ," $(46,652)"," $7,535 "," $(79,296)"," $71,761 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140010,YNHH NNICU / OB Renovations Project,300203,Connecticut Main,Project,2015,2015.MAY,,N,P,CG,008,,49 ,9," $136,477 "," $389,699 "," $65,472 "," $734,557 "," $306,532 "," $164,096 "," $2,164,589 "," $218,446 "," $1,775,543 "," $1,021,696 "," $1,674,245 "," $441,607 "," $280,597 "," $676,122 "," $836,642 "," $102,298 "," $1,083,271 "," $1,421,499 "," $1,281,427 "," $4,583,895 "," $158,394 "," $1,485,127 "," $3,676,161 "," $3,002,556 "," $1,807,035 "," $1,096,594 "," $2,227,850 "," $2,225,536 "," $1,629,380 "," $1,104,679 "," $1,149,759 "," $1,390,773 "," $1,870,280 "," $1,364,815 "," $1,003,837 "," $1,242,006 "," $1,002,152 "," $960,993 "," $1,947,748 "," $336,765 "," $111,436 "," $48,393 "," $13,740 "," $28,530 "," $7,023 "," $(8,590)"," $2,985 "," $184,386 "," $8,451 "," $(11,052)"," $8,345 "," $4,974 "," $5,478 "," $8,007 "," $13,513 "," $12,788 "," $12,885 "," $9,523 "," $7,822 "," $10,212 "," $27,420 "," $39,337 "," $173,633 ",,,,,,,,,,,,,,,,,,,,,
140028,Amex Club,300402,Houston Main,Project,2015,2015.NOV,,N,P,CG,014,,19 ,4," $433,206 "," $402,479 "," $606,300 "," $629,844 "," $1,041,097 "," $1,268,923 "," $510,091 "," $397,154 "," $450,159 "," $76,108 "," $(7,486)"," $(62,285)"," $1,112 "," $(5,135)"," $18,774 "," $1,125 "," $1,941 "," $7,164 "," $11,453 ", $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140442,APSU Fine Arts Improvements - Precon,300365,Nashville Main,Project,2014,2014.MAR,,N,P,CG,005,,6 ,1, $34 ," $29,966 ", $(0)," $(30,000)"," $18,416 ", $223 , $(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140550,Greenwich Hospital Replacement LINAC,300204,Connecticut SPD,Project,2015,2015.JUN,,N,P,CG,008,,18 ,1," $10,220 "," $16,884 "," $212,431 "," $157,217 "," $31,910 "," $26,942 "," $38,102 "," $16,683 "," $3,962 ", $549 , $167 , $31 , $6 , $(30), $(0)," $12,900 ", $130 , $(84), $82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140570,STH - Patient AHU Replacement,323111,MEP Universal,Project,2015,2015.JAN,,N,M,CP,008,,4 ,1," $9,752 "," $54,281 "," $7,117 ", $889 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140571,Yale U - New Residential Colleges,323102,MEP Connecticut,Project,2014,2014.MAY,,N,M,CG,005,,44 ,5," $10,000 "," $5,000 "," $10,000 "," $20,000 "," $15,000 "," $10,353 "," $26,687 "," $441,481 "," $5,000 "," $61,617 "," $335,143 "," $11,520 "," $525,703 "," $131,870 "," $123,460 "," $34,070 "," $161,333 "," $74,995 "," $15,472 "," $43,648 "," $560,169 "," $(114,056)"," $49,343 "," $759,308 "," $522,208 "," $745,020 "," $495,548 "," $34,706 "," $537,298 "," $9,722 "," $423,532 "," $254,905 "," $20,005 "," $468,075 ", $(152)," $27,325 ", $1 , $(0)," $82,712 "," $1,151 ", $(11)," $28,955 ", $(3), $0 ," $15,000 ", $(0)," $29,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140604,Spanx Atlanta HQ Project,300352,Atlanta SPD,Project,2014,2014.DEC,,N,P,CG,001,,22 ,7," $54,605 "," $2,646,166 "," $1,741,089 "," $1,698,874 "," $1,195,288 "," $1,649,150 "," $808,524 "," $336,854 "," $55,130 "," $112,597 "," $38,767 "," $5,987 "," $50,250 "," $15,039 "," $37,323 "," $18,934 "," $4,001 "," $11,451 ", $118 ," $1,187 ", $(599), $2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140679,Carmel Manor,323112,MEP Ohio,Project,2014,2014.AUG,,N,M,CP,008,,3 ,1, $33 ," $9,637 "," $8,370 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140728,Sempra Construction Services,300481,San Diego SPD,Project,2014,2014.JUN,,N,P,CG,001,,3 ,1," $(7,993)"," $(35,418)"," $32,731 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
